trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,violation state
290,False,"{'a': 0.7, 'e': 0.058722021951470346}",25,2,19.4749503583516,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('left', 'red', None, 'right', 'left')]"
291,False,"{'a': 0.7, 'e': 0.058621038176054921}",20,0,11.160505590645323,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0,"[('right', 'red', 'left', 'left', 'forward')]"
292,False,"{'a': 0.7, 'e': 0.058520573598065284}",30,0,24.089011494375992,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0,"[('forward', 'green', 'forward', 'right', 'left')]"
293,False,"{'a': 0.7, 'e': 0.058420623783698597}",20,1,21.650928115056004,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('left', 'green', None, None, None)]"
294,False,"{'a': 0.7, 'e': 0.058321184351980429}",20,9,22.421927907670405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
295,False,"{'a': 0.7, 'e': 0.058222250973958202}",25,0,29.31798475806835,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0,"[('right', 'green', None, 'forward', 'forward')]"
296,False,"{'a': 0.7, 'e': 0.058123819371909642}",20,6,25.87352186361671,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
297,False,"{'a': 0.7, 'e': 0.058025885318565944}",25,9,22.759552687155196,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
298,False,"{'a': 0.7, 'e': 0.057928444636349226}",25,0,20.308428364370588,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0,"[('forward', 'red', 'forward', 'right', 'left'), ('forward', 'green', 'forward', 'right', 'left')]"
299,False,"{'a': 0.7, 'e': 0.05783149319662402}",25,0,37.190459128321585,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
300,False,"{'a': 0.7, 'e': 0.057735026918962568}",20,11,16.627857573530125,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
301,False,"{'a': 0.7, 'e': 0.057639041770423498}",25,0,-5.552444198237605,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0,"[('forward', 'red', 'forward', 'right', 'forward')]"
302,False,"{'a': 0.7, 'e': 0.057543533764843599}",20,2,28.942551669604608,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
303,False,"{'a': 0.7, 'e': 0.057448498962142602}",25,18,13.757085404691939,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
304,False,"{'a': 0.7, 'e': 0.057353933467640436}",35,24,18.97798878999745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
305,False,"{'a': 0.7, 'e': 0.057259833431386825}",25,3,37.249896586015964,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
306,False,"{'a': 0.7, 'e': 0.057166195047502949}",30,0,-9.48761939262931,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0,"[('forward', 'red', 'right', 'right', None), ('left', 'red', None, 'forward', None)]"
307,False,"{'a': 0.7, 'e': 0.057073014553534959}",20,11,14.679904719102492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
308,False,"{'a': 0.7, 'e': 0.056980288229818973}",20,7,12.024174678275443,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('left', 'red', 'right', None, None)]"
309,False,"{'a': 0.7, 'e': 0.056888012398857428}",35,23,22.4867677237929,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
310,False,"{'a': 0.7, 'e': 0.056796183424706478}",30,19,16.929106088533747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
311,False,"{'a': 0.7, 'e': 0.056704797712374272}",20,13,-5.987004494636845,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1,"[('forward', 'green', 'forward', None, None)]"
312,False,"{'a': 0.7, 'e': 0.056613851707229781}",30,22,12.134284952658822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
313,False,"{'a': 0.7, 'e': 0.056523341894422152}",25,12,22.93587343331424,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
314,False,"{'a': 0.7, 'e': 0.056433264798310033}",25,2,37.71621006279951,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
315,False,"{'a': 0.7, 'e': 0.056343616981901101}",30,16,11.782357618478827,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', 'left', 'right', 'right')]"
316,False,"{'a': 0.7, 'e': 0.056254395046301198}",20,4,29.0257426654715,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
317,False,"{'a': 0.7, 'e': 0.056165595630173037}",25,4,32.430593473037476,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
318,False,"{'a': 0.7, 'e': 0.056077215409204434}",30,19,21.148158705092644,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
319,False,"{'a': 0.7, 'e': 0.055989251095585432}",20,0,29.385377592427798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
320,False,"{'a': 0.7, 'e': 0.055901699437494741}",20,0,36.78113716414182,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
321,False,"{'a': 0.7, 'e': 0.055814557218594761}",20,14,10.951758160381509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
322,False,"{'a': 0.7, 'e': 0.055727821257535282}",30,2,38.75422745114549,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
323,False,"{'a': 0.7, 'e': 0.055641488407465724}",25,2,16.61351047298516,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1,"[('left', 'green', 'right', 'forward', 'forward')]"
324,False,"{'a': 0.7, 'e': 0.055555555555555552}",25,3,38.130359779632435,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
325,False,"{'a': 0.7, 'e': 0.055470019622522911}",20,1,26.838097165676576,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
326,False,"{'a': 0.7, 'e': 0.055384877562171128}",30,22,11.97449762851866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
327,False,"{'a': 0.7, 'e': 0.055300126360933101}",25,7,29.12187665548862,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
328,False,"{'a': 0.7, 'e': 0.055215763037423267}",25,13,19.75976517077725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
329,False,"{'a': 0.7, 'e': 0.055131784641997125}",35,21,25.718011031097927,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
330,False,"{'a': 0.7, 'e': 0.055048188256318034}",20,7,24.942550624888476,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
331,False,"{'a': 0.7, 'e': 0.054964970992931267}",30,16,15.544401041562143,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', 'left', None, None)]"
332,False,"{'a': 0.7, 'e': 0.054882129994845173}",20,9,11.568470887220574,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1,"[('right', 'green', None, 'forward', 'right')]"
333,False,"{'a': 0.7, 'e': 0.054799662435119099}",20,13,13.824301273868546,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
334,False,"{'a': 0.7, 'e': 0.054717565516458275}",20,15,8.012358366661475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
335,False,"{'a': 0.7, 'e': 0.05463583647081531}",20,0,-54.48895493845468,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0,"[('forward', 'red', 'right', 'right', 'left'), ('forward', 'red', 'right', 'forward', 'left')]"
336,False,"{'a': 0.7, 'e': 0.054554472558998097}",20,12,13.088124563570803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
337,False,"{'a': 0.7, 'e': 0.054473471070284329}",25,16,16.455350673563988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
338,False,"{'a': 0.7, 'e': 0.054392829322042119}",20,6,6.051939488518581,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', None, None, None), ('left', 'green', None, None, None)]"
339,False,"{'a': 0.7, 'e': 0.054312544659356844}",25,10,-24.661961653264058,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1,"[('right', 'red', None, None, 'right'), ('forward', 'red', 'left', 'forward', 'left')]"
340,False,"{'a': 0.7, 'e': 0.054232614454664041}",20,16,7.2050823142229685,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
341,False,"{'a': 0.7, 'e': 0.054153036107388232}",30,5,-10.445618953463612,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1,"[('forward', 'red', 'right', None, None), ('forward', 'red', None, None, None)]"
342,False,"{'a': 0.7, 'e': 0.054073807043587517}",20,8,9.941250892032883,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('right', 'red', None, None, 'left')]"
343,False,"{'a': 0.7, 'e': 0.053994924715603881}",25,0,-3.160451679781911,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0,"[('forward', 'red', 'right', None, None)]"
344,False,"{'a': 0.7, 'e': 0.053916386601719206}",20,0,-8.758853417797127,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0,"[('forward', 'red', 'right', 'forward', 'forward')]"
345,False,"{'a': 0.7, 'e': 0.053838190205816552}",20,16,8.899304669189512,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
346,False,"{'a': 0.7, 'e': 0.053760333057047034}",20,9,17.368620600581615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
